Company,Applicants,Title,Abstract,Industry,Patents_number,Prescore,Date_of_latest_publication,AI_score,Recommendation,Lead_Message,rag_cases,web_context,Website,LinkedIn
FEEDZAI CONSULTADORIA E INOVACAO TECNOLOGICA S A,FEEDZAI—CONSULTADORIA E INOVACAO TECNOLOGICA S A,Triaging alerts using machine learning,"In various embodiment, a process for triaging alerts using machine learning includes receiving data associated with transactions and using computer processor(s) to analyze the received data using rule(s) to automatically identify potentially suspicious activities. The process includes scoring each of the identified potentially suspicious activities using a machine learning model and based at least in part on analysis results of the rule(s) associated with the identified potentially suspicious activities, and triaging the identified potentially suspicious activities including by determining an action to take with respect to at least a portion of the identified potentially suspicious activities based at least in part on the scoring. In various embodiments, a process for training a machine learning model to triage alerts includes configuring the machine learning model, and receiving training data. The process includes using computer processor(s) and the received training data to train the machine learning model to score potentially suspicious activities.",Financial Technology,1,52,2022-06-02,8,Strong fit due to alignment with modern tech stack and proven success in similar fintech projects. Potential for collaboration in software development services.,,[],,https://www.feedzai.com,https://www.linkedin.com/company/feedzai
NEC LAB AMERICA INC NEC,NEC LAB AMERICA INC;;NEC CORP,Gunshot detection via classification using deep learning and fiber sensing technologies,"A machine learning (ML)/artificial intelligence (AI) based distributed fiber optic sensing (DFOS) system and method providing detection and localization of gunshot events. In addition to the ML/AI DFOS, a signal processing pipeline that compresses an audible distributed acoustic sensing (DAS) waveform data into a small set of features that protects privacy of individuals while preserving the utility of acoustic events to detect the gunshot events and discriminate same from other events. A data-driven deep learning approach automatically predicts acoustic event types with higher accuracy that realized by prior art methods.",Research and Development,1,52,2023-06-12,6,"NEC Labs America has a strong focus on advanced technologies and research, which aligns with our expertise. However, the lack of clear outsourcing needs and the absence of a strong RAG case match limits the potential for collaboration. Consider monitoring for future opportunities.",,[],,https://www.nec-labs.com/,https://www.linkedin.com/company/nec-labs-america/
MOTOROLA SOLUTIONS,MOTOROLA SOLUTIONS INC,"Device, system, and method for reducing machine learning bias in machine learning generated textual lists of time-stamped events || Device, system, and method for implementing role-based machine learning models","A device, system, and method for reducing machine learning bias in machine learning generated textual lists of time-stamped events is provided. The device generates, via a machine learning algorithm, using sensor data related to the incident, a textual list of time-stamped events for an incident, one or more of the events associated with respective machine learning confidence scores. For a given time-stamped event having a respective machine learning confidence score less than a threshold confidence score, the device redacts the given event in the list and replaces it in the list with a field for receiving input, the list of rendered at a display screen with the given event in the list replaced with the field. The device receives, via an input device, input at the field and after receiving the input, un-redacts the given event, and renders, at the display screen, the received input received and the given event. A device, system, and method for implementing role-based machine learning models is provided. A implements a supervisory machine learning model that detects a first role associated with a first object in images received from a camera. The device, from machine learning models, selects and implements a first machine learning model associated with the first role to perform analysis on the images, that is reported to one or more communication devices. After implementing the first machine learning model, the device uses the supervisory machine learning model to determine a second role associated with a second object in the images that is different from the first role, and selects, from the machine learning models, a second machine learning model associated with the second role. The device implements the second machine learning model to perform analysis on the images to change the analysis reported to the one or more communication device.",Public Safety and Enterprise Security Solutions,2,52,2022-12-29,7,"Motorola Solutions has a strong alignment with our target industries and technologies, particularly in AI and secure communications. Their recent acquisitions and focus on expanding AI-powered solutions indicate a potential need for software development services, making them a suitable client for our offerings.",,[],,https://www.motorolasolutions.com,https://www.linkedin.com/company/motorola-solutions
ST MICROELECTRONICS,ST MICROELECTRONICS INC,Method and system for updating machine learning based classifiers for reconfigurable sensors || Automatic filter selection in decision tree for machine learning core,"A sensor management system includes a cloud-based sensor configuration system and an electronic device. The electronic device includes a sensor unit. The sensor unit includes configuration data that controls operation of the sensor unit. The configuration data includes a classifier that classifies feature sets generated from sensor signals of the sensor unit. The electronic device sends sensor data to the cloud-based sensor configuration system. The cloud-based sensor configuration system analyzes the sensor data and generates a new classifier customized for the sensor unit based on the sensor data. The cloud-based sensor configuration system sends the new classifier to the electronic device. The electronic device replaces the classifier in the sensor unit with the new classifier. Technological advancements are disclosed that utilize inertial sensor data for multiple classes to select a combination of filters to extract information though features to train a machine learning core decision tree. A determination is made whether the data for a class includes a frequency peak or dominating frequency that contains significant information about the class. In response to the data for the class including a frequency peak, a peak-based frequency range is determined. An entropy value is calculated for multiple frequency ranges in the data for the class. An entropy-based frequency range is selected from the multiple frequency ranges having a minimum entropy value. A frequency of interest is selected from the peak-based frequency range and the entropy-based frequency range for the class. A combination of filters is selected for each frequency of interest for each class and a decision tree is trained based on selected filter combination.",Semiconductors,2,52,2021-05-14,4,"While STMicroelectronics operates in the semiconductor industry, their focus on manufacturing technologies and automation does not align closely with software development needs. There is no clear indication of a demand for software solutions or outsourcing in software development, resulting in a lower score.",,[],,https://www.st.com,https://www.linkedin.com/company/stmicroelectronics
SOUTHWEST RES INST,SOUTHWEST RES INST,System and method for overcoming real-world losses in machine learning applications,"In an approach to integrating real-world properties into machine learning training, a real-world image is received. The real-world image is compared to a simulated image, where the comparison is performed using a discriminator network of a generative adversarial network (GAN). A generator network of the GAN is trained with results of the comparison of the real-world image to the simulated image. Responsive to determining that the real-world image is not optimal, the real-world image is iteratively tuned, using the generator network of the GAN, until it is determined that the real-world image is optimal, where the real-world image is optimal if the real-world image meets a predetermined threshold for accuracy of one or more image parameters of the simulated image versus the real-world image. The discriminator network of the GAN is trained with the real-world image.",Professional Services,1,52,2023-04-17,6,"Relevant industry and tech match, but unclear outsourcing potential. Consider exploring specific software development needs.",,[],,https://swri.org/,https://www.linkedin.com/company/southwest-research-institute
OPEN WEAVER,OPEN WEAVER INC,Methods and systems for search and ranking of code snippets using machine learning models,"Systems and methods for automatically generating search list rankings of code snippets are provided. An exemplary method includes searching source code repositories to identify code snippets in response to a search query, assigning weight values to ranking parameters, and processing the code snippets using machine learning models to generate rating scores for each of the code snippets, where each rating score applies to a corresponding ranking parameter. The method includes generating a combined score for each of the code snippets by combining the rating scores for the code snippet according to the weight values assigned to the corresponding ranking parameters and generating and presenting a user interface including an ordered list of the code snippets based on the combined scores for the code snippets.",AI/ML,1,52,2023-06-30,6,"Relevant industry and basic tech match, but unclear outsourcing potential. No strong RAG matches.",,[],,,
CSIDENTITY,CSIDENTITY CORP,Systems and methods of generating risk scores and predictive fraud modeling,"One or more implementations include methods, systems, and/or devices to help protect consumers from fraudulent activity using compromised PII. For example, systems and methods can be implemented that enable the detection and prevention of consumer-focused identity theft, generates a risk score and is powered by a predictive model using machine learning techniques and tools and presents information and recommended action a user can take in reports.",Information Services,1,52,2022-04-08,6,"CSID operates in a relevant industry but lacks a clear need for software development services as their focus is on identity protection and fraud detection technologies. The tech stack does not align closely with modern development stacks like Python or JS, and there are no strong RAG case matches indicating outsourcing potential.",,[],,https://www.experianpartnersolutions.com/,https://www.linkedin.com/company/csidentity
DELICIOUS AI,DELICIOUS AI LLC,System and method for three dimensional object counting utilizing point cloud analysis in artificial neural networks,"Systems and methods for three-dimensional object counting in a three-dimensional space include an image capture device configured to obtain at least one 2D image of the three-dimensional space, a scanner configured to obtain a 3D point cloud of the three-dimensional space, and a processor configured to cooperate with at least one artificial neural network, the at least one artificial neural network configured to classify and count objects in the three-dimensional space.",IT Services and Consulting,1,52,2021-10-14,6,"Delicious AI operates in a relevant industry with a focus on AI and machine learning, but lacks a strong match to RAG cases. Their technology stack is somewhat aligned, but there is no clear outsourcing potential based on current needs.",,[],,https://www.deliciousai.com,https://www.linkedin.com/company/delicious-ai
CIPIO,CIPIO INC,Methods and apparatus for automated enterprise machine learning with data fused from multiple domains,A method can include identifying a first set of data columns in a first data domain and a second set of data columns in a second data domain that are similar. The method can further include selecting a first subset of data columns in the first data domain and a second subset of data columns in the second data domain that have matching parameters. The method can further include arranging the first subset of data columns and the second set of data columns into a multi-domain dataset. Each column in the multi-domain dataset can be classified into structured data or unstructured data. The structured data can be used for training a machine learning model. The method can further include replacing under-performing features in the second data domain before replacing under-performing features in the first data domain. The method can further include re-training the machine learning model after replacing under-performing features.,"AI, Digital Subscriptions",1,52,2022-04-11,7,"CIPIO.ai has a strong focus on AI-driven platforms and digital subscriptions, aligning well with Interexy's expertise in software development. Their need for senior developers and modern tech stack makes them a good fit for our services.",,[],,https://cipio.ai/,https://www.linkedin.com/company/cipio-ai/
FORM BIO,FORM BIO INC,Systems and methods for training a machine learning model to determine confidence values for potential workflow outputs generated by a computational workflow,"System and method for training a machine learning model to determine confidence values for potential workflow outputs generated by a computational workflow and/or determining confidence values for potential workflow outputs using a trained machine learning model. Exemplary implementations may: store a workflow definition defining a computational workflow, computational modules, final workflow outputs, sets of potential workflow outputs, and/or other information; obtain the sets of potential workflow outputs and final workflow outputs for multiple ones of the input information sets; compile the sets of potential workflow outputs and final workflow outputs into input/output pairs for the corresponding input information sets; train a machine learning model based on the input/output pairs for the multiple input information sets to generate a trained machine learning model and/or other information; and/or other exemplary implementations.",Biotechnology Research,1,52,2022-08-08,7,"Good fit due to strong alignment with AI-driven solutions and ongoing expansion, similar to RAG cases in AI and software development needs.",,[],,https://www.formbio.com/,https://www.linkedin.com/company/formbio
RAINFOREST AUTOMATION,RAINFOREST AUTOMATION INC,Systems and methods for interval energy disaggregation utilizing machine learning || Dynamic energy management and cost optimization in local grids,"Systems and methods for interval energy disaggregation utilizing machine learning are provided. An example method includes obtaining and cleaning weather data and customer data, and based on the customer data, determining whether a structure utilizes solar energy. If the structure utilizes solar energy, the overall aggregate data is disaggregated by using and training a first machine learning model, to ultimately produce a predicted solar production. The predicted solar production is extracted from an overall aggregate data of the structure. Then, the method continues with disaggregating the non-solar aggregate data by utilizing at least a second ML model, to produce disaggregated data relating to at least one of AC energy consumption and EV (electric vehicle) consumption. The disaggregated data is provided to the customer or utility. The disaggregated data comprises at least one of the predicted solar production, the AC energy consumption, and the EV consumption of the structure. Systems and methods for dynamic management of energy usage in local grids are provided. An example method is performed by a load distribution controller coupled to a power source and an energy storage device configured to accumulate power. The method includes acquiring reference levels of using energy of the power source at time slots within a time period and cost values corresponding to the reference levels, dynamically determining, based on the reference levels and the cost values, a schedule indicating charge levels of the energy storage device at the time slots within the time period, and configuring the energy storage device to charge or discharge the power the power according to the schedule. The reference levels are obtained using the Viterbi algorithm based on costs of the energy of power source at past times slots of a past time period and rates of charging and discharging the energy storage device.",Energy Management Software,2,52,2023-05-25,7,"Good fit due to strong industry and tech match with potential for software development services, especially in AI and machine learning applications.",,[],,https://www.rainforestautomation.com,https://ca.linkedin.com/company/rainforest-automation
ENTEFY,ENTEFY INC,Automatic application program interface (API) selector for unsupervised natural language processing (NLP) intent classification,"Improved intelligent personal assistant (IPA) software agents are disclosed that are configured to interact with various people, service providers, files, and/or smart devices. More particularly, this disclosure relates to an improved Natural Language Processing (NLP) Intent Determination Service (IDS) that is able to determine the likely best action to take in response to generic user commands and queries. The disclosed NLP IDS automatically selects valid (or potentially valid) API paths (e.g., sequence of API calls) to produce desired actions. Associated system actions and known API sequencing rules may then be used to process the incoming user command or query. A feedback loop is also disclosed to identify newly available APIs and success criteria for selected API paths. Discovery of API paths may be performed using predefined information, monitored information, programmatically determined interfaces, and programmatically tested interfaces. A directed graph model may be used to represent potential API paths.",Artificial Intelligence Software and Automation,1,52,2024-02-27,8,"Strong fit due to similarity in industry and technology stack with RAG cases, particularly in AI development and software solutions.",,[],,https://www.entefy.com,https://www.linkedin.com/company/entefy
DISCORD,DISCORD INC,Machine-learning notification service,"The present technology provides a smart notification service that is machine-learning driven and integrates with smart channels for determining how the user is receiving notifications and smart notification generators for determining what notifications should be sent and to whom, based on what notifications have been sent previously to the users and how they interacted with the previously sent notifications. The machine-learning model is trained by previously sent notifications to optimize the kind of notifications being sent, who receives the notifications, and in what cadence they receive such notifications.",Technology,1,52,2022-09-26,8,Strong fit due to alignment with tech stack and industry focus. Discord's need for senior developers and modern software solutions aligns well with Interexy's offerings.,,[],,https://discord.com,https://www.linkedin.com/company/discord
MALIKIE INNOVATIONS,MALIKIE INNOVATIONS LTD,Mobile wireless communications device having digital wallet with multi-mode user card and related methods,"A mobile wireless communications device may include a housing, a wireless transceiver carried by the housing, a memory carried by the housing, a display carried by the housing, and a processor carried by the housing. The processor is configured to implement a digital wallet including a multi-mode user card having first and second user interface modes, and selectively change the multi-mode user card from the first user interface mode to the second user interface mode based upon a current location, a current time, or a determined event. The second user interface mode includes one or more of a mapping interface mode, a survey interface mode, or a purchase interface mode.",Fintech,1,52,2021-04-23,8,Strong fit due to similarity with Decard's focus on digital wallets and decentralized networks. Malikie Innovations has a tech product that aligns with our expertise in software development.,,[],,,
MATTERPORT INC COSTAR REALTY INFORMATION,MATTERPORT INC;;COSTAR REALTY INFORMATION INC,Machine learning techniques for ground classification,"Example systems, methods, and non-transitory computer readable media are directed to obtaining a point cloud that represents an environment based at least in part on a plurality of points in three-dimensional space; determining corresponding classifications of points in the point cloud as ground or not-ground based at least in part on a plurality of ground classification algorithms; determining respective point cloud features associated with the points in the point cloud; determining respective cell features associated with a plurality of cells that segment the point cloud; generating feature data for a machine learning model based at least in part on one or more of: the classifications of the points based on the plurality of ground classification algorithms, the point cloud features, or the cell features; and classifying the points in the point cloud based at least in part on an output from the machine learning model.","Computer Vision, Real Estate Technology",1,52,2022-10-06,6,"Matterport has a strong focus on 3D spatial mapping and digital twin technology, which aligns with modern software development needs. However, the acquisition by CoStar Group and their substantial revenue suggest they may not require external software development services at this time.",,[],,https://www.matterport.com,https://www.linkedin.com/company/matterport
MYRIAD WOMENS HEALTH,MYRIAD WOMENS HEALTH INC,Deep learning based variant calling using machine learning,"A system and method for determining a respective carrier status of an individual is provided. In one implementation, a method includes training a neural network model based on predetermined information related to at least one genetic variant and determining the respective carrier status based on a normalized read depth for the gene in a genome of the individual and allele dosage data for the gene using a machine learning algorithm. The method is configured to receive, as inputs, the normalized read depth and allele dosage data, and output the respective carrier status of the individual for the at least one genetic variant. In another implementation a system includes a recurrent neural network. The recurrent neural network includes a plurality of long short-term memory (LSTM) network cells linked sequentially in the recurrent neural network, a plurality of layers of long short-term memory (LSTM) network cells; and a fully connected sigmoid module.",Healthcare,1,52,2020-09-30,8,"Myriad Women's Health has a strong focus on genetic testing and screening services, which aligns well with our expertise in software development. Their need for advanced technology solutions and potential for collaboration in software development makes them a good fit for our services.",,[],,https://myriadwomenshealth.com/,https://www.linkedin.com/company/myriad-womens-health/
CLARITAS SOFTWARE SOLUTIONS,CLARITAS SOFTWARE SOLUTIONS LTD,Creating machine learning models for detecting the application of specific deepfake tools,"There is provided a computer implemented method of training a detection machine learning model (ML) for identifying a specific deepfake tool of a plurality of deepfake tools used to create a deepfake video, comprising: feeding a plurality of sample authentic videos into the specific deepfake tool, obtaining a plurality of deepfake videos as an outcome of the specific deepfake tool, creating a training dataset comprising a plurality of records, wherein a record includes a deepfake video labelled with a ground truth indicating the specific deepfake tool used to create the deepfake video, and training the detection ML model on the training dataset for detecting that the specific deepfake tool was used to create an input deepfake video.",Technology,1,52,2024-01-11,6,"Claritas Solutions has a relevant industry focus and a technology stack that aligns with software development needs. However, there is no strong similarity to RAG cases, indicating uncertain outsourcing potential.",,[],,https://www.claritas.com,https://www.linkedin.com/company/claritas-solutions-limited
FUZE INC 8X8,FUZE INC;;8X8 INC,System and method for distributing communication requests based on collaboration circle membership data using machine learning,"Various aspects of the subject technology related to systems, methods, and a machine readable storage medium for distributing communication requests based on collaboration circle membership data using machine learning. A system may be configured to receive a plurality of communication requests. Each communication request may include a request initiator and a request recipient. The system may process the plurality of communication requests to using one or more predictive models derived from a machine learning process to generate a communication request resolution for each of the plurality of communication requests. The system may forward a communication request notification to a request facilitator to implement the generated communication request resolution.",Cloud Communications,1,52,2022-04-07,8,"Strong fit due to alignment with tech stack and industry. 8x8's acquisition of Fuze indicates a focus on enhancing their software capabilities, which may create opportunities for outsourcing software development services.",,[],,https://www.8x8.com,https://www.linkedin.com/company/8x8
SONTIQ,SONTIQ INC,Electronic payment interception fraud detection and mitigation system || Electronic Payment Interception Fraud Detection And Mitigation System,"Fraud detection within a special purpose hardware platform to detect payment interception of a first authentication file and initiate payment mitigation. A payee associated with a payee terminal device is verified as the intended recipient of the first authentication file, and the first authentication file is determined to have been intercepted in its intended delivery to the payee terminal device. A second authentication file is generated and delivered to the payee terminal device.",IT Services and IT Consulting,2,52,2023-10-02,6,Sontiq operates in a relevant industry but lacks a clear match to the tech stack and specific needs for software development services. Their focus on identity security solutions may not align directly with the software development services offered by Interexy.,,[],,https://www.sontiq.com/,https://www.linkedin.com/company/sontiq/
LYFT,LYFT INC,Systems and methods for detecting an environment external to a personal mobile vehicle in a fleet management system || Systems and methods for personal mobile vehicle localization in a fleet management system,"In one embodiment, a method includes a computing system obtaining, via one or more sensors of a personal mobile vehicle (PMV), a reflection signal indicating a characteristic of a road surface of an environment external to the PMV. The computing system may determine one or more characteristic factors of the road surface of the environment external to the PMV based on the reflection signal. The computing system may generate a vulnerable road user (VRU) classification probability distribution by using a machine learning classifier. The VRU classification probability distribution indicates whether a combination of the one or more characteristic factors is associated with the VRU. The computing system may determine, based on the VRU classification probability distribution, that the road surface is associated with the VRU. The computing system may present an alert message to a display associated with the PMV. Embodiments described herein provide a localization mechanism that blends location data collected from hardware sensors equipped with a personal mobile vehicle and location and/or status data collected from external location source other than the personal mobile vehicle to generate adjusted location data for the personal mobile vehicle.",Transportation,2,50,2024-07-11,6,"Lyft operates in a relevant industry with a modern tech stack, but there is no strong RAG case match indicating a clear need for software development services. The company is large and may not require outsourcing for software development.",,[],,https://www.lyft.com,https://www.linkedin.com/company/lyft
SYNOPSYS,SYNOPSYS INC,Machine learning technique to diagnose software crashes || Placing hard macros using machine learning predictions trained on different circuit designs || Machine-learning-based design-for-test (DFT) recommendation system for improving automatic test pattern generation (ATPG) quality of results (QoR),"The present disclosure describes a system and method for generating references for software crashes. The method includes applying a first machine learning model to a test case for a software application to adjust the test case to produce an adjusted test case and executing the adjusted test case on the software application to produce a software crash. The method also includes applying a second machine learning model to the software crash to generate a reference crash signature for the software crash and logging, using the second machine learning model, a reference crash configuration for the software crash. In one aspect, QoR metrics for different candidate macro placements are estimated using machine learning models. A set of candidate macro placements of hard macros within a circuit design is assessed by estimating a quality metric for each candidate macro placement, as follows. Model-specific estimates of the quality metric are predicted by applying different machine learning models to the candidate macro placements. The different machine learning models are trained using sets of completed macro placements for other circuit designs. The model-specific estimates of the quality metric are combined based on an applicability of (a) the set of macro placements used to train that model to (b) the set of candidate macro placements being evaluated. A first set of features may be extracted from a first integrated circuit (IC) design. A trained machine learning (ML) model may predict a set of ranked test-case configurations for the first IC design based on the first set of features. A test-case configuration may correspond to a count of scan chain input and output ports and a scan chain length value. A set of parameter values may be generated by a machine learning (ML) model, where the set of parameter values may be used by a black-box function to generate a set of outputs based on a set of inputs. It may be determined whether the set of parameter values is expected to cau",Integrated Circuit Design and Verification,4,48,2024-06-19,5,"Maybe; while there is a relevant industry match, the specific software development needs are not clearly defined, and there is no strong similarity to RAG cases.",,[],,https://www.synopsys.com/,https://www.linkedin.com/company/synopsys/
VERIZON PATENT AND LICENSING INC NEC CORP NEC LAB AMERICA,VERIZON PATENT & LICENSING INC;;NEC CORP;;NEC LAB AMERICA INC,Systems and methods for utilizing machine learning to minimize a potential of damage to fiber optic cables,"A device may receive, from a fiber sensor device, sensing data associated with a fiber optic cable, the sensing data being produced by an activity that poses a threat of damage to the fiber optic cable, and the sensing data identifying: amplitudes of vibration signals, frequencies of the vibration signals, patterns of the vibration signals, times associated with the vibration signals, and locations along the fiber optic cable associated with the vibration signals. The device may process, with a machine learning model, the sensing data to determine a threat level of the activity to the fiber optic cable, the machine learning model having been trained based on historical information regarding detected vibrations, historical information regarding sources of the detected vibrations, and historical information regarding threat levels to the fiber optic cable. The device may perform one or more actions based on the threat level to the fiber optic cable.",Information Technology and Telecommunications,1,47,2023-12-29,8,"Strong fit due to alignment with modern tech stack and industry focus. NEC Corporation of America has a clear need for software development services, particularly in AI and IoT, which aligns well with Interexy's offerings.",,[],,https://www.necam.com,https://www.linkedin.com/company/nec-corporation-of-america
WORLDPAY,WORLDPAY LLC,Systems and methods for predictive analysis of electronic transaction representment data using machine learning,"Systems and methods are disclosed for generating a prediction on chargeback representment based on probability data and/or results from a plurality of machine learning models. The method includes receiving data associated with at least one disputed transaction for at least one user, wherein the received data includes user-specific information and/or merchant-specific information. The received data is processed to calculate a probability of success in a chargeback representment for the at least one disputed transaction. A prediction is calculated based, at least in part, on the probability of success, one or more results from a plurality of machine learning models, or a combination thereof. A presentation is generated of at least one recommendation on the chargeback representment based, at least in part, on the prediction in a user interface of at least one device associated with the at least one user.",Financial Technology,1,47,2022-06-07,8,Worldpay is a strong fit for software development services due to its focus on financial technology and the need for advanced payment processing solutions. The company's recent initiatives in AI-driven payments align well with Interexy's expertise in modern tech stacks.,,[],,https://www.worldpay.com,https://www.linkedin.com/company/worldpay
WORLD WIDE TECH HOLDING CO,WORLD WIDE TECH HOLDING CO LLC,Training a digital twin in artificial intelligence-defined networking,"A system including one or more processors and one or more non-transitory computer-readable media storing computing instructions that, when executed on the one or more processors, perform certain acts. The acts can include generating a digital twin network simulation of a physical computer network controlled through a software-defined-network (SDN) control system. The acts also can include training a routing agent model on the digital twin network simulation using a reinforcement-learning model on traffic that flows through nodes of the digital twin network simulation. The routing agent model includes a machine-learning model. The acts additionally can include deploying the routing agent model, as trained, from the digital twin network simulation to the SDN control system of the physical computer network. Other embodiments are described.",IT Software & Services,1,47,2021-01-29,8,"Strong fit due to alignment with tech stack and industry focus. WWT's expertise in cloud computing, AI, and IoT matches well with Interexy's offerings, and their need for senior developers indicates potential for software development services.",,[],,https://www.wwt.com,https://www.linkedin.com/company/world-wide-technology
HOLOGIC,HOLOGIC INC,Systems and methods for using AI to identify regions of interest in medical images,"Examples of the present disclosure describe systems and methods for using AI to identify regions of interest (ROI) in medical images. In aspects, medical reports and images may be provided to a second environment. The second environment may use the medical report data/medical images to train a natural language processing (NLP)-based algorithm to identify the location in images of ROI described in the medical report data. The output of the NLP-based algorithm may be stored in an ROI repository in the second environment. After the NLP-based algorithm has been trained, a request to train a user-specific model may be received in a first environment. Data objects for the requested user-specific model may be provided to the second environment, which uses the ROI repository to train the model. The trained model may be provided to the first environment, where the trained user-specific model/algorithm may be tested and stored.",Medical Technology,1,47,2021-11-22,8,"Hologic is a strong fit for software development services, particularly in AI and modern tech stacks, aligning well with our successful case of HIGHQFITNESS in healthcare. Their focus on advanced diagnostics and imaging systems indicates a clear need for software solutions.",,[],,https://www.hologic.com/,https://www.linkedin.com/company/hologic
CADENCE DESIGN SYSTEMS,CADENCE DESIGN SYSTEMS INC,"Method, product, and system for a sequence generation ecosystem using machine learning","An approach is disclosed herein a sequence generation ecosystem using machine learning. The approach disclosed herein is a new approach to sequence generation in the context of validation that relies on machine learning to explore and identify ways to achieve different states. In particular, the approach divides the valid operations into different respective actions and action sequences. These actions are selected by machine learning models as they are being trained using online inference reinforcement learning. This online inference also is likely to result in the discovery of new states. Each state that has been identified is then used as a target to train a respective machine learning model. As part of this process a representation of all the states and actions or sequences of actions executed to reach those states is created. This representation, the respective machine learning models, or a combination thereof can then be used to generate different test sequences.",AI/ML,1,47,2021-09-30,8,Strong fit due to similarity with Seclea's focus on AI applications and need for Python developers. Potential for collaboration in software development services.,,[],,,
PREMIER HEALTHCARE SOLUTIONS,PREMIER HEALTHCARE SOLUTIONS INC,"Systems, methods, and apparatuses for predicting resource shortages using machine learning","Systems, methods, and apparatuses are described herein for predicting resource shortages using machine learning. The present invention is configured to identify a resource identifier(s) from a resource database; receive a resource transaction dataset associated with the resource identifier(s); identify a key performance indicator(s) from the resource transaction dataset; generate a key performance signal(s), wherein the key performance signal(s) comprises a plurality of values of the key performance indicator(s) over a predetermined period; apply the key performance signal(s) to a supply shortage labeling operation; identify a resource shortage event(s) associated with the resource identifier(s); apply the key performance signal(s) and the resource shortage event(s) to train a supply shortage machine learning model; and generate, by the supply shortage machine learning model, a likelihood of a future-shortage for the resource identifier(s) which is based on the at least one key performance signal for at least one point in time.",Insurance,1,47,2023-12-29,6,"Relevant industry match, but unclear outsourcing potential and no strong RAG matches.",,[],,https://premierhsllc.com/,https://www.linkedin.com/company/premier-health-solutions
VERINT AMERICAS,VERINT AMERICAS INC,Anomaly detection systems and methods,"An anomaly detection system using machine learning to generate predicted survey scores for a given duration and a given metric based on historic survey score data. The system compares a predicted survey score to the actual survey score and identifies anomalous actual survey scores. The anomaly detection system trains a plurality of survey score prediction models using historic survey score data. Each survey score prediction model is based on a specific survey score metric and a specific duration. The survey score prediction models generate expected survey score results for the given duration and the given metric. Based on the user-determined filtering and tolerances, the system determines if the actual survey score result is anomalous. The system generates reports for the detected anomalies and continually updates the survey score prediction models with newly obtained actual survey results, thereby improving the anomaly detection accuracy over time.",Technology,1,47,2022-06-14,8,"Verint is a strong fit for software development services due to its focus on AI-powered solutions and customer experience automation, aligning well with our expertise in modern tech stacks and relevant RAG cases.",,[],,https://www.verint.com,https://www.linkedin.com/company/verint
CEREBRI AI,CEREBRI AI INC,Federated machine-learning platform leveraging engineered features based on statistical tests,"Provided is a process including: receiving a data token to be passed from a first node to a second node; retrieving machine learning model attributes from a collection of one or more of the sub-models of a federated machine-learning model; determining based on the machine learning model attributes, that the data token is learning relevant to members of the collection of one or more of the sub-models and, in response, adding the data toke to a training set to be used by at least some members of the collection of one or more of the sub-models; determining a collection of data tokens to transmit from the second node to a third node of the set of nodes participating in a federated machine-learning model; and transmitting the collection of data tokens.","Artificial Intelligence, Data Analytics",1,47,2020-12-02,8,Cerebri AI is a strong fit for software development services due to its focus on AI-driven analytics and its use of a modern tech stack. The company has a proven track record and aligns well with our ideal client profile.,,[],,https://www.cerebriai.com/,https://www.linkedin.com/company/cerebri-ai/
ELEMENTAL COGNITION INC BRIDGEWATER ASS EC IP,ELEMENTAL COGNITION INC;;BRIDGEWATER ASS EC IP LLC,Machine-learning assisted natural language programming system,"A natural language programming system may configure a machine learning (ML) model to translate natural language descriptions into constrained language statements. The constrained language statements may express the natural language descriptions using a constrained subset of natural language. The constrained subset of natural language includes words with unambiguous semantics and with meaning that has a clear and singular interpretation. The constrained language statements with unambiguous semantics enable construction of valid statements in high-level “English-like” executable programming language. With the present system, a user does not need to learn a new programming language but rather learn to constrain their natural language statements to a subset of the natural language (“constrained language”) and to generate executable programs.","Technology, Information and Internet",1,47,2023-02-24,8,"Strong fit due to alignment with AI and software development needs, similar to RAG case Seclea, which also required Python developers for AI applications.",,[],,https://ec.ai,https://www.linkedin.com/company/elementalcognition
SINGULOS RES,SINGULOS RES INC,Scale selective machine learning system and method || Dimensionally aware machine learning system and method,"In an aspect, the present disclosure provides a method of generating scale selective training data for use in training a machine learning system to support scale selective image classification tasks, comprising obtaining a plurality of images comprising an object of interest at a plurality of image scales; assigning a desired label to each of the plurality of images based on an image scale of the object of interest in the each image, wherein the desired label comprises an in-scope response when the image scale comprises an in-scope image scale, and generating a set of training data for use in training the machine learning system to predict a scale of the object of interest, the training data comprising the plurality of images and corresponding desired labels. In an aspect, the present disclosure provides a method of providing a dimensionally aware prediction for an object in an image captured by an image sensor, using a scale selective machine learning system, comprising: obtaining an input comprising image data of an object at an input image scale; generating a plurality of variant images based on re-scaling the input with a plurality of different image scaling factors, each variant image comprising the object at a variant image scale; generating a plurality of scale selective predictions based on the plurality of variant images, and assigning an in-scope response when the variant image comprises the object at an in-scope image scale, and determining a location prediction for the object based on a scale selective prediction comprising the in-scope response.",Retail Technology,2,47,2022-02-14,8,"Strong fit due to similarity in tech stack and industry focus. Singuli's need for AI-driven inventory optimization aligns well with Interexy's expertise in software development, particularly in Python and JavaScript.",,[],,https://singuli.co,https://www.linkedin.com/company/singuli
